APOGEE_ID,GC_NAME,dPOS,SNREV,TEFF,LOGG_SPEC,STARFLAG,ASPCAPFLAG,VB_PROB,FE_H,FE_H_ERR,FE_H_FLAG,MG_FE,MG_FE_ERR,MG_FE_FLAG,SI_FE,SI_FE_ERR,SI_FE_FLAG,CA_FE,CA_FE_ERR,CA_FE_FLAG,C_FE,C_FE_ERR,C_FE_FLAG,AL_FE,AL_FE_ERR,AL_FE_FLAG,K_FE,K_FE_ERR,K_FE_FLAG,MN_FE,MN_FE_ERR,MN_FE_FLAG,DENSITY
b'2M00531493-2633524',NGC0288,0.18535730272216733,91.90096,4799.78,1.9056,0,0,0.99989,-1.2881,0.016360631,0,0.300093,0.032475486,0,0.3006506,0.036257435,0,0.391685,0.051508754,0,-0.12555003,0.05602113,0,0.037680984,0.04374127,0,0.270859,0.09560872,0,-0.50849795,0.05125268,0,0.21080049347818547
b'2M13252825-4723232',NGC5139,0.11208241096497819,262.41864,4736.173,1.1725,0,0,0.99997,-1.8536,0.012197827,0,0.36515296,0.029139746,0,0.24920058,0.027785908,0,0.321975,0.04380924,0,-0.47743988,0.05201822,0,-0.23841906,0.026483163,0,0.13625908,0.082821615,0,0.037602067,0.045293637,0,0.21099603135131875
b'2M13262241-4734248',NGC5139,0.05473961280747052,131.82419,4906.953,1.8045,0,4,0.9999899999999999,-1.4644,0.013618201,0,-0.039386988,0.028959317,0,0.3066907,0.03130849,0,0.14278603,0.044576153,0,-0.118309975,0.05320147,0,1.043731,0.03488579,0,-0.41974092,0.08532909,0,-0.06799793,0.044852804,0,0.21197484662559624
b'2M00231074-7159158',NGC0104,0.07530762893984137,249.89153,4407.306,1.2527,0,0,1.0,-0.80998,0.009588224,0,0.42453298,0.015549073,0,0.26713055,0.016839117,0,0.24690503,0.019739257,0,0.14774,0.017105255,0,0.32673097,0.021882491,0,0.374209,0.04749021,0,-0.18911809,0.021113232,0,0.21214778192547146
b'2M21331521-0049516',NGC7089,0.09083118734168116,221.84358,4542.683,0.77625,0,0,1.0,-1.5914,0.011749653,0,0.100550056,0.02458285,0,0.17658067,0.024190973,0,0.15085506,0.035108548,0,-0.67707,0.035942428,0,0.079180956,0.025440753,0,-0.16474092,0.07128396,0,-0.280298,0.036957435,0,0.21225044285793676
b'2M19535769+1844567',NGC6838,0.08637203779251793,104.883156,4865.689,2.5987,0,0,0.9988,-0.67899,0.012722548,0,0.287433,0.021967215,0,0.20664057,0.02633301,0,0.16684496,0.031584237,0,-0.01504004,0.032917503,0,0.268721,0.03569381,0,0.360299,0.06771509,0,-0.268708,0.031991445,0,0.212292433241977
b'2M18353132-2400406',NGC6656,0.17343026229772462,174.72887,5045.2993,2.0128,0,640,0.9999100000000001,-1.7885,0.011843704,0,0.19606304,0.029100735,0,0.28084052,0.02948824,0,0.46266484,0.044749834,0,0.11238587,0.06214741,0,0.64458096,0.028520068,0,0.48975897,0.08418769,0,-0.022498012,0.045162696,0,0.21230392625700095
b'2M13423548+2819583',NGC5272,0.13745594172543468,146.50598,4498.55,0.98471,0,0,1.0,-1.4423,0.014469793,0,0.10106397,0.028228376,0,0.14492047,0.029276565,0,0.057163954,0.04204773,0,-0.5575,0.040455528,0,-0.29101908,0.033857673,0,0.21865892,0.08210829,0,-0.27759802,0.04339599,0,0.21368730767042665
b'2M13424924+2823523',NGC5272,0.1953741188193187,121.63734,4712.142,1.5921,0,0,0.9999899999999999,-1.2864,0.01474242,0,0.16341293,0.028963238,0,0.21144044,0.03144198,0,0.2482549,0.044132162,0,-0.2915901,0.046108447,0,-0.16691911,0.037274145,0,0.35105896,0.08528386,0,-0.378098,0.04474352,0,0.21458779699841204
b'2M16465982-0202241',NGC6218,0.2152547488749676,114.91314,4967.144,2.2463,0,0,0.99995,-1.2374,0.013844204,0,0.29199302,0.028598197,0,0.22917056,0.032019213,0,0.37664497,0.044188328,0,-0.20305002,0.05322803,0,0.3964411,0.03712993,0,0.11185908,0.08516349,0,-0.5104979,0.044147037,0,0.215098883075044
